expanded_nodes,optimal_solution_length,time,heuristic_avg_value,heuristic_root_value
835,22,0.0111875,9.08244,12
1024,23,0.0103413,10.0667,15
72,17,0.0019926,9.15079,13
953,25,0.00210364,11.6783,17
91,16,0.00193275,6.72561,10
652,22,0.0024431,9.37182,12
350,22,0.00215986,10.4395,14
612,21,0.00300858,9.81136,11
232,17,0.00216395,7.8625,7
177,21,0.00186735,10.8271,13
511,23,0.00222514,9.97655,15
1037,23,0.00326692,10.3864,11
197,19,0.00179541,8.38938,13
697,22,0.00224535,9.28096,14
239,19,0.00281982,7.90571,13
1622,22,0.00229108,9.72591,10
315,20,0.00305722,8.87339,10
30,21,0.00245195,10.3269,19
373,22,0.00200097,10.5618,18
550,22,0.00206837,10.553,16
34,16,0.00290264,8.22951,14
118,16,0.00226359,8.47549,10
1449,25,0.00232459,10.8645,15
873,22,0.00240382,10.0839,14
808,23,0.00251451,9.78436,13
1167,25,0.00248493,10.5056,15
308,21,0.00206933,9.42476,15
41,13,0.00265867,6.08,7
533,23,0.00180205,11.0371,13
346,24,0.00206177,11.5,16
929,24,0.00233701,10.2885,14
117,16,0.00299983,8.69951,12
26,18,0.00151739,9.02083,16
666,23,0.00260714,10.136,13
1734,26,0.00381428,10.7851,14
1824,27,0.00367428,12.1416,17
231,22,0.00248783,11.4182,14
1807,26,0.0027775,10.7077,14
655,22,0.00206685,9.45545,12
2298,25,0.00331598,10.2244,13
76,14,0.00193696,7.45185,8
786,25,0.00189445,11.2696,19
609,21,0.00291088,9.22804,11
2231,26,0.00317172,10.6504,16
1757,24,0.00285059,9.85137,14
299,24,0.00206431,11.503,20
41,18,0.00292629,9.95946,14
543,23,0.00342427,10.6895,15
438,21,0.00315337,10.0621,11
2864,28,0.00318356,12.2559,16
221,20,0.00194187,9.78497,12
2849,27,0.00314753,11.0714,15
179,19,0.00200795,8.82792,11
1075,26,0.00345408,11.5799,16
177,18,0.0017122,8.58117,12
752,24,0.00392802,10.0917,16
182,18,0.00231813,8.18649,8
1355,24,0.00227523,10.0853,12
205,23,0.00194091,11.0603,17
712,24,0.00334149,10.5858,16
1421,27,0.00248084,12.0228,19
2186,25,0.00220872,9.91612,13
168,21,0.00166122,10.6818,15
39,22,0.00325782,12.0147,18
4038,28,0.00427669,11.1541,14
90,20,0.00194762,9.61688,16
2905,27,0.00258626,10.8626,17
2301,27,0.00232267,11.8772,15
698,25,0.00278778,10.8711,19
2190,24,0.00405521,9.48527,10
936,24,0.00336657,11.8384,16
238,22,0.00169734,9.92629,16
3038,27,0.00287839,10.957,15
1632,26,0.00218803,10.8184,18
4306,25,0.00460401,10.3003,11
739,26,0.0027431,11.9036,20
382,20,0.00315131,9.36435,14
2084,26,0.00222879,10.7022,16
99,16,0.00158515,7.52841,10
2764,27,0.00400038,11.4317,17
428,19,0.00356558,8.66071,11
715,25,0.00228214,13.0852,21
68,15,0.00155753,7.35246,11
34,17,0.00225373,9.27419,13
121,15,0.00218423,7.37799,7
993,25,0.00181502,10.7449,17
163,17,0.00228504,8.92553,11
2389,27,0.00330807,11.712,17
369,20,0.00301038,8.33812,8
356,20,0.00164849,8.59302,12
1461,27,0.00213838,11.1426,21
854,26,0.00291071,11.4814,18
730,22,0.00297709,9.60016,12
257,22,0.00163962,11.3218,14
414,22,0.00251385,9.85248,12
181,19,0.00381082,9.89644,17
336,20,0.00201158,9.109,8
707,21,0.00177365,8.57759,9
1467,24,0.00283314,11.0388,14
1319,25,0.00357851,10.7828,13
