expanded_nodes,optimal_solution_length,time,heuristic_avg_value,heuristic_root_value
70436,22,0.0347266,0,12
98412,23,0.0297938,0,15
11718,17,0.00208599,0,13
134664,25,0.036179,0,17
5209,16,0.000726142,0,10
59830,22,0.0117751,0,12
71614,22,0.0213053,0,14
42704,21,0.00815465,0,11
10486,17,0.00218523,0,7
55230,21,0.0109851,0,13
86288,23,0.023935,0,15
87902,23,0.0211975,0,11
24271,19,0.0049174,0,13
67445,22,0.0196996,0,14
21294,19,0.00540681,0,13
67976,22,0.0182554,0,10
30932,20,0.00618658,0,10
51926,21,0.0119601,0,19
74010,22,0.0205714,0,18
57200,22,0.0143404,0,16
6175,16,0.0016077,0,14
4890,16,0.000631886,0,10
128087,25,0.0328286,0,15
59140,22,0.0129784,0,14
86044,23,0.0209586,0,13
124428,25,0.0327476,0,15
55828,21,0.014148,0,15
1904,13,0.00110981,0,7
89286,23,0.0212239,0,13
96167,24,0.0244725,0,16
108997,24,0.025852,0,14
6800,16,0.00247346,0,12
12237,18,0.00174892,0,16
91221,23,0.0265669,0,13
146642,26,0.0361515,0,14
166169,27,0.0496099,0,17
61999,22,0.0185073,0,14
149038,26,0.0408099,0,14
66394,22,0.0184381,0,12
134964,25,0.0346724,0,13
3528,14,0.000479171,0,8
141058,25,0.0385709,0,19
51334,21,0.00929529,0,11
147235,26,0.0344218,0,16
96629,24,0.0239796,0,14
117820,24,0.0272142,0,20
12721,18,0.00184767,0,14
82402,23,0.0253495,0,15
55950,21,0.0113023,0,11
170358,28,0.057154,0,16
41346,20,0.0090558,0,12
163708,27,0.0521232,0,15
25948,19,0.0052415,0,11
146431,26,0.0395463,0,16
16644,18,0.00256369,0,12
113398,24,0.0242478,0,16
12763,18,0.00181388,0,8
102477,24,0.0258674,0,12
91593,23,0.0237437,0,17
116022,24,0.029404,0,16
170975,27,0.0472272,0,19
132375,25,0.0317304,0,13
43631,21,0.0072516,0,15
61343,22,0.0130695,0,18
173107,28,0.0515754,0,14
37323,20,0.00773721,0,16
166627,27,0.04728,0,17
165544,27,0.0491519,0,15
136365,25,0.0338305,0,19
101428,24,0.0260886,0,10
99337,24,0.0300466,0,16
69657,22,0.018708,0,16
169153,27,0.0507316,0,15
146614,26,0.0372596,0,18
136769,25,0.035525,0,11
144168,26,0.0350504,0,20
32178,20,0.00541318,0,14
149505,26,0.0488313,0,16
6810,16,0.00259576,0,10
165286,27,0.0463883,0,17
20088,19,0.00301201,0,11
134133,25,0.0291347,0,21
3471,15,0.000464825,0,11
9452,17,0.00136814,0,13
4001,15,0.000509488,0,7
134421,25,0.032962,0,17
10951,17,0.00160384,0,11
165164,27,0.0462579,0,17
32194,20,0.00534973,0,8
37083,20,0.00636712,0,12
163614,27,0.0541813,0,21
145000,26,0.0356259,0,18
68791,22,0.0180476,0,12
69185,22,0.0189932,0,14
66051,22,0.0174976,0,12
25603,19,0.0059486,0,17
30499,20,0.00583234,0,8
45472,21,0.00894026,0,9
106698,24,0.0251841,0,14
130566,25,0.0336571,0,13
