expanded_nodes,optimal_solution_length,time,heuristic_avg_value,heuristic_root_value
579,156,0.000549923,0,12
437,187,0.000374196,0,15
430,189,0.000379106,0,13
466,207,0.000411596,0,17
16,16,7.764e-06,0,10
407,152,0.00033336,0,12
422,168,0.000349049,0,14
96,27,6.8778e-05,0,11
576,87,0.000459535,0,7
634,119,0.000544974,0,13
90,57,7.8426e-05,0,15
560,141,0.000477469,0,11
83,47,5.2427e-05,0,13
502,146,0.000429319,0,14
66,39,4.339e-05,0,13
501,146,0.000427135,0,10
81,44,5.0614e-05,0,10
46,37,3.0246e-05,0,19
386,160,0.000318082,0,18
429,190,0.00036542,0,16
540,132,0.000461198,0,14
453,166,0.000385988,0,10
464,181,0.000395566,0,15
651,198,0.000576844,0,14
406,189,0.000364439,0,13
423,187,0.000365481,0,15
453,203,0.000400625,0,15
17,15,9.567e-06,0,7
405,165,0.000347907,0,13
542,140,0.000469273,0,16
135,38,0.000102782,0,14
67,34,4.0596e-05,0,12
452,194,0.000411045,0,16
432,195,0.000374857,0,13
521,162,0.000450217,0,14
111,79,9.1941e-05,0,17
590,98,0.000481025,0,14
549,148,0.000511191,0,14
447,184,0.000392129,0,12
460,211,0.000416736,0,13
394,140,0.000343129,0,8
65,45,4.3411e-05,0,19
510,155,0.000451109,0,11
525,222,0.000474273,0,16
533,130,0.000455678,0,14
416,184,0.000372403,0,20
19,18,1.0109e-05,0,14
428,181,0.000359489,0,15
552,149,0.00047847,0,11
461,198,0.00041377,0,16
496,174,0.000432966,0,12
88,49,7.0621e-05,0,15
601,101,0.000487968,0,11
452,206,0.000399113,0,16
560,132,0.000479342,0,12
43,36,2.7071e-05,0,16
480,180,0.000415362,0,8
459,216,0.000403531,0,12
80,55,5.2427e-05,0,17
68,46,4.2799e-05,0,16
525,219,0.000456469,0,19
401,153,0.000334112,0,13
632,195,0.000556605,0,15
416,188,0.000362234,0,18
496,210,0.000435611,0,14
20,20,9.298e-06,0,16
659,129,0.000576603,0,17
474,197,0.000423138,0,15
62,41,4.0515e-05,0,19
423,170,0.000412137,0,10
514,158,0.000437985,0,16
394,166,0.000335916,0,16
420,181,0.000358578,0,15
410,178,0.000343118,0,18
386,175,0.000334473,0,11
448,176,0.000378905,0,20
389,164,0.000321969,0,14
466,194,0.000429109,0,16
453,194,0.000408781,0,10
442,193,0.000399323,0,17
590,129,0.000508386,0,11
454,197,0.000409873,0,21
57,39,3.6778e-05,0,11
18,17,9.568e-06,0,13
387,149,0.000323132,0,7
572,175,0.000499379,0,17
417,179,0.000357275,0,11
596,175,0.000520027,0,17
382,168,0.000331657,0,8
522,150,0.000452492,0,12
580,151,0.000518214,0,21
458,208,0.000429199,0,18
485,176,0.000425923,0,12
580,152,0.000503106,0,14
409,152,0.000347046,0,12
403,161,0.000331978,0,17
636,186,0.000557938,0,8
48,29,2.9855e-05,0,9
613,104,0.000517353,0,14
450,203,0.000405153,0,13
