expanded_nodes,optimal_solution_length,time,heuristic_avg_value,heuristic_root_value
2631,22,0.00032237,9.77798,12
3276,23,0.000379015,10.5983,15
145,17,2.0668e-05,9.9878,13
2720,25,0.000315417,11.7814,17
165,16,2.3133e-05,7.13781,10
1734,22,0.000210421,9.24546,12
1741,22,0.000206494,10.4373,14
439,21,5.5693e-05,10.75,11
464,17,5.6595e-05,7.57995,7
611,21,7.4939e-05,11.5015,13
724,23,8.8895e-05,11.7241,15
1659,23,0.0001938,10.9094,11
372,19,4.8631e-05,9.07508,13
1420,22,0.000169185,9.65937,14
465,19,6.5452e-05,8.21231,13
2130,22,0.000251939,9.63501,10
794,20,9.6019e-05,9.22923,10
71,21,1.3455e-05,12.973,19
456,22,5.7717e-05,11.5486,18
368,22,4.8189e-05,10.9112,16
27,16,6.592e-06,9.63636,14
76,16,1.2162e-05,8.56349,10
2805,25,0.000323512,11.1287,15
805,22,9.8073e-05,10.212,14
1666,23,0.000200433,10.2856,13
2470,25,0.00029045,10.3454,15
1294,21,0.000153536,9.68414,15
100,13,1.4337e-05,6.92818,7
1609,23,0.000189353,11.262,13
225,24,3.2701e-05,14.0028,16
1820,24,0.00026355,11.523,14
129,16,2.4806e-05,9.48165,12
37,18,1.086e-05,10.2459,16
1500,23,0.000223846,10.93,13
4075,26,0.000595157,11.366,14
5873,27,0.000689854,12.1135,17
487,22,6.1805e-05,11.7152,14
5296,26,0.000667712,11.0962,14
2349,22,0.000328541,9.77091,12
5296,25,0.000648667,10.8577,13
125,14,2.0027e-05,7.92166,8
3436,25,0.000401097,11.4462,19
1193,21,0.000150961,9.67131,11
9239,26,0.00107973,10.2447,16
2256,24,0.000266065,10.4347,14
626,24,7.7054e-05,13.1572,20
92,18,1.4287e-05,10.1184,14
1145,23,0.000133358,11.0429,15
1201,21,0.000140611,10.7251,11
5557,28,0.000663555,12.4014,16
730,20,8.9056e-05,9.97202,12
9355,27,0.00110721,10.6355,15
661,19,9.7722e-05,8.78661,11
2195,26,0.000272016,12.0918,16
257,18,3.3763e-05,9.30626,12
2440,24,0.000283568,10.669,16
339,18,4.295e-05,8.48448,8
2316,24,0.000266176,10.8761,12
272,23,3.6427e-05,13.2102,17
3401,24,0.000393562,10.8299,16
9544,27,0.00108275,11.5019,19
8845,25,0.00101026,9.66959,13
360,21,4.5835e-05,10.3719,15
103,22,1.7172e-05,13.3988,18
11359,28,0.00132874,11.5511,14
406,20,5.4552e-05,9.68685,16
8302,27,0.00100999,11.2258,17
6762,27,0.000783117,11.8587,15
2421,25,0.000281774,11.361,19
3944,24,0.000460016,9.62369,10
899,24,0.000108212,11.5169,16
868,22,0.000105026,10.5045,16
14476,27,0.001646,10.9029,15
3141,26,0.000380448,11.7239,18
8979,25,0.00103922,9.91499,11
1631,26,0.000190865,11.6023,20
413,20,5.2036e-05,9.50659,14
8936,26,0.00104801,10.443,16
166,16,2.3043e-05,8.81034,10
7986,27,0.000942183,11.3541,17
490,19,6.1334e-05,8.29142,11
324,25,4.3771e-05,14.1706,21
56,15,9.157e-06,8.01087,11
83,17,1.3385e-05,9.75362,13
186,15,2.4386e-05,7.25786,7
2713,25,0.000317912,11.4755,17
206,17,2.7722e-05,9.26062,11
5691,27,0.000646423,11.7959,17
1408,20,0.000182089,8.11849,8
573,20,7.2966e-05,9.43302,12
2764,27,0.000325936,11.3301,21
2791,26,0.000324344,10.9761,18
2006,22,0.000240497,9.71594,12
1238,22,0.00015064,10.9632,14
1016,22,0.000122588,10.9764,12
244,19,3.2691e-05,9.9358,17
722,20,8.8575e-05,9.39641,8
2213,21,0.000298956,8.09127,9
2265,24,0.000271395,11.2776,14
3613,25,0.00056376,10.6761,13
