expanded_nodes,optimal_solution_length,time,heuristic_avg_value,heuristic_root_value
809224,22,0.0959885,0,12
1659716,23,0.195424,0,15
56332,17,0.00668734,0,13
3832745,25,0.456015,0,17
20305,16,0.00234663,0,10
572929,22,0.0669061,0,12
840836,22,0.0986842,0,14
336804,21,0.0393157,0,11
48030,17,0.00562658,0,7
523656,21,0.0621994,0,13
1183127,23,0.139135,0,15
1229083,23,0.14458,0,11
144153,19,0.0170364,0,13
726908,22,0.0860782,0,14
119854,19,0.0141489,0,13
746437,22,0.0871701,0,10
201422,20,0.0239294,0,10
463439,21,0.054833,0,19
880730,22,0.103973,0,18
529433,22,0.0620131,0,16
25389,16,0.00306402,0,14
18803,16,0.00220305,0,10
3233556,25,0.377954,0,15
559966,22,0.0651814,0,14
1161412,23,0.135691,0,13
3012022,25,0.356845,0,15
533665,21,0.0648146,0,15
6472,13,0.000808264,0,7
1258485,23,0.154876,0,13
1506581,24,0.178175,0,16
2082556,24,0.252185,0,14
28816,16,0.00343822,0,12
57963,18,0.00682017,0,16
1339032,23,0.160019,0,13
5227219,26,0.631456,0,14
10582097,27,1.29234,0,17
618550,22,0.072306,0,14
5647709,26,0.670689,0,14
707091,22,0.082615,0,12
3906491,25,0.460845,0,13
13166,14,0.00154752,0,8
4826279,25,0.576282,0,19
445186,21,0.0523409,0,11
5301125,26,0.632061,0,16
1521264,24,0.180304,0,14
2550556,24,0.306282,0,20
60744,18,0.00714059,0,14
1071876,23,0.126341,0,15
542261,21,0.0646629,0,11
13426501,28,1.643,0,16
323493,20,0.0389389,0,12
9617303,27,1.18501,0,15
160297,19,0.0191407,0,11
5150682,26,0.623702,0,16
86884,18,0.0102822,0,12
2296791,24,0.279486,0,16
60654,18,0.00738077,0,8
1715624,24,0.210613,0,12
1336827,23,0.160476,0,17
2536222,24,0.308816,0,16
15171649,27,1.91455,0,19
3587527,25,0.427585,0,13
344582,21,0.040673,0,15
599226,22,0.0712466,0,18
15073854,28,1.82428,0,14
277227,20,0.0331703,0,16
10843669,27,1.31118,0,17
10295974,27,1.23986,0,15
4095213,25,0.486637,0,19
1665813,24,0.198198,0,10
1583030,24,0.186553,0,16
792904,22,0.0942907,0,16
12496979,27,1.51563,0,15
5225955,26,0.622999,0,18
4088312,25,0.484094,0,11
4873453,26,0.577871,0,20
214527,20,0.0253201,0,14
5735592,26,0.689207,0,16
28881,16,0.00339681,0,10
10128430,27,1.22062,0,17
110829,19,0.0129448,0,11
3745531,25,0.444086,0,21
12608,15,0.00147842,0,11
42323,17,0.00497042,0,13
15054,15,0.00177934,0,7
3814064,25,0.458754,0,17
51080,17,0.00609728,0,11
10083429,27,1.2329,0,17
216000,20,0.0258043,0,8
269408,20,0.0320462,0,12
9608157,27,1.17145,0,21
4963354,26,0.59425,0,18
761900,22,0.0896427,0,12
779904,22,0.0929944,0,14
713444,22,0.0845139,0,12
156601,19,0.0186207,0,17
197513,20,0.0234029,0,8
365116,21,0.0428974,0,9
1905883,24,0.224195,0,14
3411288,25,0.403639,0,13
